BL_ID,Colony,Burrow,Date,Time,Media,Background,GPS,Visibility,Comment,PhotoID,Prey,Count,Confidence,BillHeight_pix,Headbill_pix,HeadLength_pix,TailLength_pix,Measure_comment
EC20_2024-07-27_05:54:00,EC,EC20,2024-07-27,05:54,Photo,N,N,Full,,07270028.JPG,Capelin,2,75,584,,,1152,Tip of tail offscreen—length estimated
EC20_2024-07-27_05:54:00,EC,EC20,2024-07-27,05:54,Photo,N,N,Full,,07270028.JPG,UnknownFish,1,NA,584,,,415,
EC20_2024-07-27_08:18:00,EC,EC20,2024-07-27,08:18,Photo,N,N,Full,,07270121.JPG,Gadid,1,50,577,,,918,
EC20_2024-07-27_08:18:00,EC,EC20,2024-07-27,08:18,Photo,N,N,Full,,07270121.JPG,Sandlance,3,75,577,,,608,
EC20_2024-07-27_19:52:00,EC,EC20,2024-07-27,19:52,Photo,N,N,Full,,07270229.JPG,UnknownFish,2,NA,573,,,945,
EC20_2024-07-28_17:12:00,EC,EC20,2024-07-28,17:12,Photo,N,N,Full,,07280532.JPG,Sandlance,2,75,606,,182,,1 UnknownFish added to Sandlance count
EC20_2024-07-28_17:12:00,EC,EC20,2024-07-28,17:12,Photo,N,N,Full,,07280532.JPG,UnknownFish,1,NA,606,,,845,Tip of tail offscreen—length estimated
EC20_2024-07-28_21:34:00,EC,EC20,2024-07-28,21:34,Photo,N,N,Full,,07280571.JPG,Sandlance,2,100,588,,,869,
EC20_2024-07-28_21:34:00,EC,EC20,2024-07-28,21:34,Photo,N,N,Full,,07280571.JPG,Unknown,1,NA,,,X,X,
EC20_2024-07-29_04:52:00,EC,EC20,2024-07-29,04:52,Photo,N,N,Full,,07290577.JPG,Unknown,1,NA,275,,,302,
EC20_2024-07-29_04:52:00,EC,EC20,2024-07-29,04:52,Photo,N,N,Full,,07290577.JPG,UnknownFish,1,NA,275,,,489,
EC20_2024-07-29_06:45:00,EC,EC20,2024-07-29,06:45,Photo,N,N,Full,,07290649.JPG,UnknownFish,4,NA,637,,,786,
EC20_2024-07-29_08:50:00,EC,EC20,2024-07-29,08:50,Photo,N,N,Full,,07290658.JPG,Greenling,1,100,634,,,835,
EC20_2024-07-29_08:50:00,EC,EC20,2024-07-29,08:50,Photo,N,N,Full,,07290658.JPG,Unknown,1,NA,,,X,X,
EC20_2024-07-29_17:25:00,EC,EC20,2024-07-29,17:25,Photo,N,N,Full,,07290988.JPG,UnknownFish,3,NA,,,X,X,
EC20_2024-07-30_04:47:00,EC,EC20,2024-07-30,04:47,Photo,N,N,Full,,07300069.MOV,Capelin,1,100,136,,,341,
EC20_2024-07-30_06:17:00,EC,EC20,2024-07-30,06:17,Photo,N,N,Full,,07300091.JPG,UnknownFish,4,NA,563,,,744,
EC20_2024-07-30_09:13:00,EC,EC20,2024-07-30,09:13,Photo,N,N,Full,,07300139.JPG,UnknownFish,4,NA,581,,,914,
EC20_2024-07-30_10:06:00,EC,EC20,2024-07-30,10:06,Photo,N,N,Full,,07300163.JPG,UnknownFish,5,NA,587,,,779,
EC20_2024-07-30_11:41:00,EC,EC20,2024-07-30,11:41,Photo,N,N,Partial,,07300196.JPG,UnknownFish,2,NA,,,X,X,
EC20_2024-07-31_05:59:00,EC,EC20,2024-07-31,05:59,Photo,N,N,Full,,07310292.JPG,Sandlance,2,50,569,,,864,1 UnknownFish added to Sandlance count
EC20_2024-07-31_05:59:00,EC,EC20,2024-07-31,05:59,Photo,N,N,Full,,07310292.JPG,UnknownFish,2,NA,569,,258,,
EC20_2024-08-01_06:54:00,EC,EC20,2024-08-01,06:54,Photo,N,N,Full,,08010169.JPG,UnknownFish,5,NA,600,,245,,
EC20_2024-08-02_05:24:00,EC,EC20,2024-08-02,05:24,Photo,N,N,Full,,08020892.JPG,Capelin,1,100,329,,,805,
EC20_2024-08-02_05:24:00,EC,EC20,2024-08-02,05:24,Photo,N,N,Full,,08020892.JPG,Unknown,1,NA,,,X,X,
EC20_2024-08-02_05:42:00,EC,EC20,2024-08-02,05:42,Photo,N,N,Partial,,08020901.JPG,UnknownFish,1,NA,,,X,X,
EC20_2024-08-02_07:59:00,EC,EC20,2024-08-02,07:59,Photo,N,N,Full,,08020931.JPG,Capelin,2,100,623,,215,,
EC20_2024-08-02_07:59:00,EC,EC20,2024-08-02,07:59,Photo,N,N,Full,,08020931.JPG,Unknown,1,NA,,,X,X,
EC20_2024-08-02_07:59:00,EC,EC20,2024-08-02,07:59,Photo,N,N,Full,,08020931.JPG,UnknownFish,1,NA,623,,243,,
EC20_2024-08-03_14:22:00,EC,EC20,2024-08-03,14:22,Photo,N,N,Full,,08030292.JPG,UnknownFish,3,NA,569,,161,,
EC20_2024-08-03_15:16:00,EC,EC20,2024-08-03,15:16,Photo,N,N,Partial,,08030295.JPG,UnknownFish,1,NA,X,X,,,
EC20_2024-08-03_16:46:00,EC,EC20,2024-08-03,16:46,Photo,N,N,Partial,,08030304.JPG,UnknownFish,2,NA,559,,,591,
EC20_2024-08-03_19:37:00,EC,EC20,2024-08-03,19:37,Photo,N,N,Full,,08030367.JPG,Gadid,6,100,,1552,264,1018,Facing camera
EC20_2024-08-04_05:27:00,EC,EC20,2024-08-04,05:27,Photo,N,N,Full,,08040412.JPG,UnknownFish,3,NA,282,,,446,
EC20_2024-08-04_06:41:00,EC,EC20,2024-08-04,06:41,Photo,N,N,Partial,,08040430.JPG,Gadid,4,100,555,,,869,
EC20_2024-08-04_06:44:00,EC,EC20,2024-08-04,06:44,Photo,N,N,Full,,08040436.JPG,UnknownFish,2,NA,564,,,692,
EC20_2024-08-04_10:52:00,EC,EC20,2024-08-04,10:52,Photo,N,N,Full,,08040721.JPG,Sandlance,3,100,572,,,814,2 UnknownFish added to Sandlance count
EC20_2024-08-04_10:52:00,EC,EC20,2024-08-04,10:52,Photo,N,N,Full,,08040721.JPG,Unknown,1,NA,,,X,X,
EC20_2024-08-04_11:27:00,EC,EC20,2024-08-04,11:27,Photo,N,N,Full,,08040745.JPG,UnknownFish,3,NA,605,,278,,
EC20_2024-08-04_14:54:00,EC,EC20,2024-08-04,14:54,Photo,N,N,Full,,08040799.JPG,UnknownFish,4,NA,X,X,,,
EC20_2024-08-04_16:55:00,EC,EC20,2024-08-04,16:55,Photo,N,N,Partial,,08040862.JPG,UnknownFish,4,NA,X,X,,,
EC20_2024-08-05_12:30:00,EC,EC20,2024-08-05,12:30,Photo,N,N,Partial,,08050391.JPG,UnknownFish,2,NA,546,,,703,
EC20_2024-08-05_18:31:00,EC,EC20,2024-08-05,18:31,Photo,N,N,Full,,08050007.JPG,Gadid,8,100,782,,280,984,Facing camera
EC20_2024-08-05_21:00:00,EC,EC20,2024-08-05,21:00,Photo,N,N,Full,,08050016.JPG,UnknownFish,3,NA,556,,179,,
EC20_2024-08-07_07:50:00,EC,EC20,2024-08-07,07:50,Photo,N,N,Full,,08070924.MOV,Gadid,5,100,122,,47,,
EC20_2024-08-07_12:45:00,EC,EC20,2024-08-07,12:45,Photo,N,N,Full,,08070109.JPG,Gadid,2,50,646,,235,,
EC20_2024-08-07_12:45:00,EC,EC20,2024-08-07,12:45,Photo,N,N,Full,,08070109.JPG,UnknownFish,1,NA,646,,,761,
EC20_2024-08-08_06:47:00,EC,EC20,2024-08-08,06:47,Photo,N,N,Full,,08080709.JPG,Capelin,1,50,,,X,X,
EC20_2024-08-08_06:47:00,EC,EC20,2024-08-08,06:47,Photo,N,N,Full,,08080709.JPG,Gadid,2,50,579,,,743,UnknownFish to Gadid
EC20_2024-08-08_06:47:00,EC,EC20,2024-08-08,06:47,Photo,N,N,Full,,08080709.JPG,UnknownFish,1,NA,,,X,X,
EC20_2024-08-08_16:38:00,EC,EC20,2024-08-08,16:38,Photo,N,N,Full,,08080771.MOV,Capelin,1,100,152,,,299,
EC20_2024-08-08_16:38:00,EC,EC20,2024-08-08,16:38,Photo,N,N,Full,,08080771.MOV,Greenling,5,100,152,,46,,
EC20_2024-08-09_06:34:00,EC,EC20,2024-08-09,06:34,Photo,N,N,Full,,08090823.JPG,Gadid,3,75,566,,,1014,
EC20_2024-08-09_21:03:00,EC,EC20,2024-08-09,21:03,Photo,N,N,Full,,08090172.JPG,Gadid,1,75,591,,,978,
EC20_2024-08-09_21:03:00,EC,EC20,2024-08-09,21:03,Photo,N,N,Full,,08090172.JPG,Sandlance,1,50,591,,,909,
EC20_2024-08-09_21:03:00,EC,EC20,2024-08-09,21:03,Photo,N,N,Full,,08090172.JPG,UnknownFish,2,NA,591,,192,,
EC20_2024-08-10_06:47:00,EC,EC20,2024-08-10,06:47,Photo,N,N,Full,,08100406.JPG,Herring0,2,50,591,,,587,
EC20_2024-08-10_06:47:00,EC,EC20,2024-08-10,06:47,Photo,N,N,Full,,08100406.JPG,Sandlance,2,50,591,,,751,
EC20_2024-08-10_08:03:00,EC,EC20,2024-08-10,08:03,Photo,N,N,Full,,08100433.JPG,Herring0,6,50,566,,,512,
