dep_id,Gurge.Sample.ID,Fecal.Sample.ID
A120_borrs_9Jul2024,Middleton-BLKI-2024-641,BLKI-MID-AD-2024-84
A122_ykbyws_9Jul2024,Middleton-BLKI-2024-640,BLKI-MID-AD-2024-85
A123_bwsgbb_9Jul2024,Middleton-BLKI-2024-643,BLKI-MID-AD-2024-86
A124_obsoog_10Jul2024,Middleton-BLKI-2024-644,BLKI-MID-AD-2024-87
A116_erbgs_12Jul2024,Middleton-BLKI-2024-647,BLKI-MID-AD-2024-88
A112_osrow_12Jul2024,Middleton-BLKI-2024-645,BLKI-MID-AD-2024-89
A117_yysyky_12Jul2024,Middleton-BLKI-2024-646,BLKI-MID-AD-2024-90
A115_erybs_12Jul2024,NA,BLKI-MID-AD-2024-91
A120_esyeg_13Jul2024,NA,BLKI-MID-AD-2024-92
A119_oygoks_13Jul2024,Middleton-BLKI-2024-648,BLKI-MID-AD-2024-93
A127_wksrbo_16Jul2024,NA,BLKI-MID-AD-2024-94
A123_gwbys_16Jul2024,NA,BLKI-MID-AD-2024-95
A116_brsrkb_24Jul2024,NA,BLKI-MID-AD-2024-96
A118_ykygrs_4Aug2024,Middleton-BLKI-2024-679,BLKI-MID-AD-2024-97
A115_bsbrw_4Aug2024,Middleton-BLKI-2024-680,BLKI-MID-AD-2024-98
A117_bksyry_4Aug2024,NA,BLKI-MID-AD-2024-290
A103_brgbs_1July2023,NA,NA
A91_yobys_6July2023,NA,NA
A107_grwws_30June2023,NA,NA
A82_esrby_7July2023,NA,NA
A98_bseww_1July2023,NA,NA
A110_bksroo_30June2023,NA,NA
A99_bksgro_7July2023,NA,NA
A107_ybswgb_17July2023,NA,NA
A96_osoeb_7July2023,NA,NA
A79_ooswgb_7July2023,NA,NA
A87_ysbgw_4July2023,NA,NA
A96_rkgggs_1July2023,NA,NA
A106_yboys_30June2023,NA,NA
A92_ggwys_3July2023,NA,NA
A95_ysbor_8July2023,NA,NA
A80_ysbrr_14July2023,NA,NA
A87_esyeb_13July2023,Middleton-BLKI-2023-452,NA
A88_wsegr_10July2023,NA,NA
A80_rsbgr_8July2023,NA,NA
A92_yrwws_6July2023,Middleton-BLKI-2023-470,NA
A106_bsber_11July2023,NA,NA
A79_esggr_3July2023,NA,NA
A89_gwsyrw_13July2023,NA,NA
A95_bregs_4July2023,NA,NA
A99_ysbgo_28June2023,NA,NA
A92_ywrbs_10July2023,NA,NA
A103_wbgyks_26June2023,NA,NA
A91_wsygw_3July2023,NA,NA
A104_wswby_29June2023,NA,NA
A109_ysgbg_27June2023,NA,NA
A101_ysryg_29June2023,NA,NA
A102_bksrgg_30June2023,NA,NA
A82_esggo_3July2023,NA,NA
A98_goryos_27June2023,NA,NA
A96_bybbs_27June2023,NA,NA
A110_rrswwb_8Jul2024,Middleton-BLKI-2024-638,NA
A99_gogys_5Jul2024,NA,NA
A124_yygbs_1Jul2024,NA,NA
A111_brgbs_29Jun2024,NA,NA
A110_bksroo_28Jun2024,NA,NA
A96_gsbrr_4Jul2024,NA,NA
A102_esrrb_4Jul2024,NA,NA
A105_esgbe_3Jul2024,NA,NA
A125_esgoy_26Jun2024,NA,NA
A113_osoeb_28Jun2024,NA,NA
A115_ysbgw_1Jul2024,NA,NA
A125_gkbygs_1Jul2024,Middleton-BLKI-2024-629,NA
A106_bgebs_11Jul2024,NA,NA
A118_okbbws_27Jun2024,NA,NA
A114_ggwys_28Jun2024,Middleton-BLKI-2024-625,NA
A104_wkbwrs_11Jul2024,NA,NA
A108_ysbor_10Jul2024,NA,NA
A107_ysbrr_8Jul2024,NA,NA
A126_eebrs_26Jun2024,NA,NA
A124_wkyoos_18Jul2024,NA,NA
A96_ygswbb_11Jul2024,NA,NA
A98_ysbgy_2Jul2024,NA,NA
A111_rsbgr_10Jul2024,NA,NA
A121_ogrbys_1Jul2024,NA,NA
A98_bsber_10Jul2024,NA,NA
A106_beyrs_29Jun2024,NA,NA
A105_bywbs_12Jul2024,NA,NA
A122_ooswgw_25Jun2024,NA,NA
A112_ysbgo_29Jun2024,NA,NA
A104_wsygw_28Jun2024,NA,NA
A113_wswby_24Jun2024,NA,NA
A110_ebyrs_2Jul2024,NA,NA
A121_ysgbg_25Jun2024,NA,NA
A115_geyys_25Jun2024,NA,NA
A99_worgks_29Jun2024,NA,NA
A105_rbwgks_8Jul2024,Middleton-BLKI-2024-636,NA
A114_ygwgs_24Jun2024,NA,NA
A124_wsybw_26Jun2024,NA,NA
A107_wsygr_13July2023,NA,NA
A109_ygrbs_6July2023,NA,NA
A111_esbeg_3July2023,NA,NA
A96_gyywks_13July2023,NA,NA
A104_eswoo_7July2023,NA,NA
A103_bsbbw_15July2023,NA,NA
A101_esbwb_13July2023,NA,NA
L36_wsyeg_16Jul2023,NA,NA
A117_yyobs_29Jun2024,NA,NA
A122_ygswby_17Jul2024,NA,NA
A122_rrswoo_5Jul2024,NA,NA
A125_gysoky_5Jul2024,NA,NA
A126_gbbrks_17Jul2024,Middleton-BLKI-2024-649,NA
A124_rrobs_5Jul2024,NA,NA
A109_orsrkb_14June2023,NA,NA
A120_bsrow_14Jun2024,NA,NA
A93_roowks_18May2023,Middleton-BLKI-2023-259,NA
A111_bsbbr_13May2024,Middleton-BLKI-2024-607,NA
A96_wwwbs_14May2024,NA,NA
A107_bbbes_10May2024,NA,NA
A91_boers_11May2023,Middleton-BLKI-2023-220,P01
A95_brers_11May2023,Middleton-BLKI-2023-224,P02
A92_ryews_11May2023,NA,P03
A93_wyobs_11May2023,Middleton-BLKI-2023-210,P04
A89_ygegs_11May2023,Middleton-BLKI-2023-194,P05
A90_yysyky_11May2023,Middleton-BLKI-2023-208,P06
A86_orsgkg_11May2023,NA,P07
A94_bsbwe_11May2023,NA,P08
A84_wgsryw_13May2023,Middleton-BLKI-2023-205,P09
A80_owrgs_13May2023,NA,P10
A89_yoebs_8July2023,Middleton-BLKI-2023-459,P100
A87_esgyb_8July2023,Middleton-BLKI-2023-457,P101
A110_yksywg_8July2023,Middleton-BLKI-2023-454,P102
A83_wkgwys_10July2023,NA,P103
A108_bgoys_10July2023,Middleton-BLKI-2023-467,P104
A91_bwswkw_10July2023,Middleton-BLKI-2023-458,P105
A111_wkbbbs_11July2023,NA,P106
A103_ywswkb_11July2023,NA,P107
A104_wsrbe_11July2023,NA,P108
A99_bsbbr_11July2023,NA,P109
A83_obbes_13May2023,NA,P11
L4_regws_14Jul2023,Middleton-BLKI-2023-456,P110
L36_owrgs_14Jul2023,Middleton-BLKI-2023-453,P111
A98_erbgs_13July2023,Middleton-BLKI-2023-449,P112
A110_bksrow_13July2023,NA,P113
A105_bgbrrs_14July2023,NA,P114
A102_oswwr_14July2023,NA,P115
A108_royrs_14July2023,NA,P117
L4_rkygbs_16Jul2023,NA,P118
A106_oysbko_15July2023,NA,P119
A88_regws_13May2023,NA,P12
A111_boyrs_15July2023,Middleton-BLKI-2023-451,P120
A104_eseey_15July2023,Middleton-BLKI-2023-450,P121
A98_oewys_17July2023,NA,P122
A99_bbbes_18July2023,Middleton-BLKI-2023-448,P123
Z20_gosggw_21Jul2023,Middleton-BLKI-2023-447,P124
Z21_grsykr_21Jul2023,NA,P125
A85_bswey_13May2023,NA,P13
A81_byegs_13May2023,NA,P14
A82_esero_13May2023,NA,P15
A79_wswew_13May2023,NA,P16
A92_bwoes_18May2023,NA,P17
A91_wsyyg_18May2023,NA,P18
A88_rbybs_18May2023,Middleton-BLKI-2023-176,P19
A84_wwwbs_18May2023,NA,P20
A94_esyeg_18May2023,NA,P21
A95_yyobs_18May2023,Middleton-BLKI-2023-285,P22
A86_esbeg_18May2023,Middleton-BLKI-2023-253,P23
A83_eserr_18May2023,NA,P28
A84_beegs_25May2023,NA,P35
A94_wbbws_25May2023,NA,P38
A85_esgoe_25May2023,NA,P40
A81_wsrgb_25May2023,NA,P41
A95_esowg_25May2023,NA,P44
A91_oogrs_25May2023,NA,P45
A86_owobks_25May2023,Middleton-BLKI-2023-469,P47
A107_eseoo_9June2023,NA,P53
A102_bwgwrs_9June2023,NA,P54
A96_borrs_12June2023,NA,P55
A105_gkowrs_12June2023,Middleton-BLKI-2023-466,P56
A104_wrrrys_14June2023,NA,P57
A98_rowys_14June2023,Middleton-BLKI-2023-465,P58
A100_wybrs_16June2023,NA,P59
A108_wsywo_16June2023,NA,P60
