"BL_ID","Prey","Count","Confidence","BirdMethod","PreyMethod","n_measured","TotalMass","AvMass","AvLength"
"DR23_2024-07-18_08:28:00","Gadid",1,NA,"Bill height","Head",1,1.54957047480424,1.54957047480424,63.062044323811
"DR23_2024-07-20_17:35:00","UnknownFish",1,NA,NA,NA,0,NA,NA,NA
"DR23_2024-07-21_16:54:00","Herring0",8,50,"Bill height","Tail",1,5.3291040033052,0.66613800041315,50.7450991230287
"DR23_2024-07-22_12:58:00","UnknownFish",1,NA,"Bill height","Tail",1,NA,NA,NA
"DR23_2024-07-22_21:44:00","UnknownFish",2,NA,NA,NA,0,NA,NA,NA
"DR23_2024-07-23_14:47:00","UnknownFish",1,NA,NA,NA,0,NA,NA,NA
"DR23_2024-07-24_05:40:00","Gadid",3,75,"Bill height","Tail",1,2.72891152151904,0.90963717383968,54.1353083591911
"DR23_2024-07-24_07:28:00","Herring0",4,50,"Bill height","Tail",1,1.57183299655051,0.392958249137628,43.1385508353966
"DR23_2024-07-24_10:34:00","UnknownFish",1,NA,NA,NA,0,NA,NA,NA
"DR23_2024-07-25_05:47:00","Gadid",2,50,"Bill height","Tail",1,0.911930439932126,0.455965219966063,44.415947299032
"DR23_2024-07-25_09:35:00","Gadid",6,100,"Headbill","Tail",1,16.4304777467575,2.73841295779292,74.2376291260286
"DR23_2024-07-25_12:27:00","Gadid",1,50,"Bill height","Tail",1,0.68550675282498,0.68550675282498,49.9204153358046
"DR23_2024-07-25_12:27:00","Sandlance",2,75,"Bill height","Tail",1,3.04254711663504,1.52127355831752,80.9791117730172
"DR23_2024-07-25_15:15:00","Sandlance",2,50,"Bill height","Tail",1,2.76141762893704,1.38070881446852,78.7222384570427
"DR23_2024-07-29_12:19:00","Sandlance",1,50,"Bill height","Tail",1,0.113208947160569,0.113208947160569,37.9677469677012
"DR23_2024-07-29_12:19:00","UnknownFish",2,NA,"Bill height","Tail",1,NA,NA,NA
"DR23_2024-07-29_15:58:00","Sandlance",3,75,"Bill height","Tail",2,0.328287207897314,0.109429069299105,37.1700289061646
"DR23_2024-07-29_15:58:00","UnknownFish",1,NA,NA,NA,0,NA,NA,NA
"DR23_2024-07-29_17:11:00","UnknownFish",2,NA,NA,NA,0,NA,NA,NA
"DR23_2024-07-31_11:06:00","UnknownFish",2,NA,NA,NA,0,NA,NA,NA
"DR23_2024-07-31_13:13:00","Gadid",3,50,NA,NA,0,NA,NA,NA
"DR23_2024-07-31_18:14:00","UnknownFish",4,NA,NA,NA,0,NA,NA,NA
"DR23_2024-08-01_19:40:00","Gadid",2,50,"Bill height","Tail",1,1.41428753361335,0.707143766806676,50.3669013328417
"DR23_2024-08-01_19:40:00","Sandlance",1,50,"Bill height","Tail",1,0.141541503674342,0.141541503674342,40.5224411489353
"DR23_2024-08-03_19:07:00","UnknownFish",2,NA,NA,NA,0,NA,NA,NA
"DR23_2024-08-05_11:49:00","Gadid",4,100,"Bill height","Tail",1,2.00144981606552,0.500362454016381,45.6143396916045
"DR23_2024-08-06_06:07:00","Gadid",1,50,"Bill height","Tail",1,1.53297937128518,1.53297937128518,62.8678339737214
"DR23_2024-08-06_06:07:00","Herring0",1,75,"Bill height","Tail",1,0.091818223233159,0.091818223233159,27.5792998148736
"DR23_2024-08-06_13:11:00","UnknownFish",4,NA,NA,NA,0,NA,NA,NA
"DR23_2024-08-07_09:12:00","UnknownFish",4,NA,"Bill height","Head",1,NA,NA,NA
"DR23_2024-08-07_20:38:00","Unknown",2,NA,NA,NA,0,NA,NA,NA
"DR23_2024-08-07_20:38:00","UnknownFish",1,NA,NA,NA,0,NA,NA,NA
"DR23_2024-08-07_20:48:00","Herring0",4,50,"Headbill","Tail",1,0.638120804994634,0.159530201248659,32.6890980033409
"DR23_2024-08-07_20:48:00","Sandlance",3,50,"Headbill","Tail",1,0.309854712436536,0.103284904145512,36.9656654746243
"DR23_2024-08-09_12:59:00","Herring0",7,50,"Bill height","Tail",1,1.97976805158685,0.28282400736955,38.9868203367927
"DR23_2024-08-10_09:07:00","UnknownFish",2,NA,NA,NA,0,NA,NA,NA
"DR23_2024-08-10_14:43:00","Gadid",3,100,"Bill height","Head",1,9.68793079793118,3.22931026597706,77.8292699519504
"DR23_2024-08-10_15:37:00","Herring0",4,75,"Headbill","Tail",1,2.7378233282945,0.684455832073625,51.1704334446608
"DR23_2024-08-10_15:37:00","Sandlance",1,75,"Headbill","Tail",1,3.24586907449251,3.24586907449251,101.001409594206
"DR23_2024-08-10_18:06:00","Gadid",5,50,"Bill height","Tail",1,3.56508563262607,0.713017126525215,50.4864145888931
"DR23_2024-08-10_19:50:00","Herring0",1,100,NA,NA,0,NA,NA,NA
"DR23_2024-08-11_09:41:00","UnknownFish",1,NA,NA,NA,0,NA,NA,NA
"DR23_2024-08-11_13:13:00","Gadid",3,50,"Bill height","Tail",1,2.75047430503785,0.916824768345949,54.257530577766
"DR23_2024-08-11_13:13:00","Herring0",1,50,"Bill height","Tail",1,0.108948012788916,0.108948012788916,29.0697856532049
"DR23_2024-08-14_09:30:00","Herring0",5,75,"Bill height","Head",1,6.95711941846727,1.39142388369345,63.6536645677777
"DR24_2024-07-19_18:47:00","Herring0",6,50,"Bill height","Tail",1,0.743838095508547,0.123973015918091,30.2486352041575
"DR24_2024-07-19_22:29:00","Gadid",4,100,"Bill height","Tail",2,3.70272796240951,0.925681990602377,53.7211976593574
"DR24_2024-07-20_10:37:00","Prowfish",1,100,"Bill height","Tail",1,11.5690934653446,11.5690934653446,107.565889483562
"DR24_2024-07-20_10:37:00","Unknown",2,NA,NA,NA,0,NA,NA,NA
"DR24_2024-07-20_12:43:00","Gadid",4,100,"Bill height","Tail",1,4.64179839012813,1.16044959753203,58.0475360961739
"DR24_2024-07-20_17:10:00","Gadid",5,75,"Bill height","Tail",1,1.21280589159667,0.242561178319333,37.0678383641128
"DR24_2024-07-20_18:59:00","Gadid",5,100,"Bill height","Tail",1,9.13223524110755,1.82644704822151,66.1036257940203
"DR24_2024-07-20_22:19:00","Herring0",6,50,"Bill height","Tail",1,1.30170726894699,0.216951211491165,35.9323612832062
