"Gurge.Sample.ID","Herring","Capelin","Myctophid","Herring0","Eulachon","Sand_lance","Lingcod","Pollock","Sockeye_salmon","Chum_salmon","Pink_salmon","Salmon","Greenling","Sablefish","Stichaeid","Fish"
"Middleton-BLKI-2024-622",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Middleton-BLKI-2024-625",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Middleton-BLKI-2024-629",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Middleton-BLKI-2024-636",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Middleton-BLKI-2024-638",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Middleton-BLKI-2024-623",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Middleton-BLKI-2024-624",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Middleton-BLKI-2024-626",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Middleton-BLKI-2024-628",0.2,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
"Middleton-BLKI-2024-627",0,0,0,0.811,0,0,0,0.189,0,0,0,0,0,0,0,0
"Middleton-BLKI-2024-631",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Middleton-BLKI-2024-630",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Middleton-BLKI-2024-633",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Middleton-BLKI-2024-632",0.951,0,0,0,0,0,0,0,0,0,0,0,0,0.049,0,0
"Middleton-BLKI-2024-635",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Middleton-BLKI-2024-634",0,0,0,0.056,0,0,0,0,0,0,0.944,0,0,0,0,0
"Middleton-BLKI-2024-639",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Middleton-BLKI-2024-637",0,0,0,0.928,0,0,0,0,0,0,0,0,0,0,0,0.072
"Middleton-BLKI-2024-643",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Middleton-BLKI-2024-642",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Middleton-BLKI-2024-641",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Middleton-BLKI-2024-640",0,0,0,0,0,0,0,0.093,0,0,0,0,0,0,0,0.907
"Middleton-BLKI-2024-644",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Middleton-BLKI-2024-647",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Middleton-BLKI-2024-645",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Middleton-BLKI-2024-646",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Middleton-BLKI-2024-648",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Middleton-BLKI-2024-649",0.84,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Middleton-BLKI-2024-680",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Middleton-BLKI-2024-679",0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0.02
